Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 180 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -10.50 | Mean fitness (Train): -31.56 | Mean fitness (Test): -27.44
Generation 190 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -6.45 | Mean fitness (Train): -27.16 | Mean fitness (Test): -56.00
Generation 200 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -7.35 | Mean fitness (Train): -28.96 | Mean fitness (Test): -58.26
Generation 210 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -8.91 | Mean fitness (Train): -26.69 | Mean fitness (Test): -30.73
Generation 220 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -4.63 | Mean fitness (Train): -31.89 | Mean fitness (Test): -12.44
Generation 230 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -11.13 | Mean fitness (Train): -43.45 | Mean fitness (Test): -35.58
Generation 240 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -6.33 | Mean fitness (Train): -53.16 | Mean fitness (Test): -45.78
Generation 250 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -9.40 | Mean fitness (Train): -44.13 | Mean fitness (Test): -30.08
Generation 260 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -8.42 | Mean fitness (Train): -35.10 | Mean fitness (Test): -11.04
Generation 270 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -4.90 | Mean fitness (Train): -25.59 | Mean fitness (Test): -12.59
Generation 280 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -6.24 | Mean fitness (Train): -35.69 | Mean fitness (Test): -13.04
Generation 290 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -13.73 | Mean fitness (Train): -53.09 | Mean fitness (Test): -32.26
Generation 300 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -5.88 | Mean fitness (Train): -41.47 | Mean fitness (Test): -52.96
Generation 310 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -7.28 | Mean fitness (Train): -39.02 | Mean fitness (Test): -8.70
Generation 320 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -7.20 | Mean fitness (Train): -36.32 | Mean fitness (Test): -18.78
Generation 330 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -14.88 | Mean fitness (Train): -50.79 | Mean fitness (Test): -96.13
Generation 340 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -6.20 | Mean fitness (Train): -47.66 | Mean fitness (Test): -11.72
Generation 350 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -5.75 | Mean fitness (Train): -29.24 | Mean fitness (Test): -17.09
Generation 360 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -9.89 | Mean fitness (Train): -42.55 | Mean fitness (Test): -33.65
Generation 370 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -9.78 | Mean fitness (Train): -33.26 | Mean fitness (Test): -30.91
Generation 380 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -8.18 | Mean fitness (Train): -25.03 | Mean fitness (Test): -13.23
Generation 390 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -12.22 | Mean fitness (Train): -46.97 | Mean fitness (Test): -92.64
Generation 400 | Best fitness (Train): 0.32 | Best fitness in generation (Train): -8.64 | Mean fitness (Train): -51.05 | Mean fitness (Test): -43.18
Generation 410 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -4.59 | Mean fitness (Train): -35.26 | Mean fitness (Test): -12.51
Generation 420 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -8.20 | Mean fitness (Train): -30.24 | Mean fitness (Test): -20.00
Generation 430 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -9.03 | Mean fitness (Train): -19.87 | Mean fitness (Test): -13.74
Generation 440 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -10.79 | Mean fitness (Train): -32.53 | Mean fitness (Test): -18.61
Generation 450 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -11.29 | Mean fitness (Train): -27.50 | Mean fitness (Test): -13.03
Generation 460 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -9.45 | Mean fitness (Train): -36.40 | Mean fitness (Test): -24.14
Generation 470 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -5.95 | Mean fitness (Train): -12.79 | Mean fitness (Test): -8.46
Generation 480 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -11.53 | Mean fitness (Train): -30.54 | Mean fitness (Test): -102.55
Generation 490 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -7.76 | Mean fitness (Train): -45.45 | Mean fitness (Test): -191.43
Generation 500 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -8.38 | Mean fitness (Train): -29.87 | Mean fitness (Test): -11.28
Generation 510 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -7.20 | Mean fitness (Train): -29.79 | Mean fitness (Test): -11.56
Generation 520 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -19.64 | Mean fitness (Train): -48.60 | Mean fitness (Test): -104.61
Generation 530 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -6.20 | Mean fitness (Train): -32.22 | Mean fitness (Test): -6.57
Generation 540 | Best fitness (Train): 1.14 | Best fitness in generation (Train): -9.12 | Mean fitness (Train): -30.03 | Mean fitness (Test): -17.30
Generation 550 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -18.18 | Mean fitness (Train): -35.15 | Mean fitness (Test): -49.49
Generation 560 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -13.78 | Mean fitness (Train): -39.95 | Mean fitness (Test): -14.89
Generation 570 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -8.26 | Mean fitness (Train): -23.94 | Mean fitness (Test): -52.21
Generation 580 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -15.25 | Mean fitness (Train): -40.10 | Mean fitness (Test): -15.96
Generation 590 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -11.38 | Mean fitness (Train): -49.09 | Mean fitness (Test): -45.78
Generation 600 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -5.82 | Mean fitness (Train): -18.95 | Mean fitness (Test): -36.73
Generation 610 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -14.92 | Mean fitness (Train): -61.80 | Mean fitness (Test): -79.82
Generation 620 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -14.64 | Mean fitness (Train): -46.64 | Mean fitness (Test): -19.31
Generation 630 | Best fitness (Train): 10.69 | Best fitness in generation (Train): -6.86 | Mean fitness (Train): -20.37 | Mean fitness (Test): -7.26
