Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 200 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -6.60 | Mean fitness (Train): -34.69 | Mean fitness (Test): -16.64
Generation 210 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -8.86 | Mean fitness (Train): -36.67 | Mean fitness (Test): -11.95
Generation 220 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -4.69 | Mean fitness (Train): -21.35 | Mean fitness (Test): -10.33
Generation 230 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -8.17 | Mean fitness (Train): -32.03 | Mean fitness (Test): -28.73
Generation 240 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -4.29 | Mean fitness (Train): -23.27 | Mean fitness (Test): -9.61
Generation 250 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -6.36 | Mean fitness (Train): -28.23 | Mean fitness (Test): -64.28
Generation 260 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -6.45 | Mean fitness (Train): -25.96 | Mean fitness (Test): -7.21
Generation 270 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.35 | Mean fitness (Train): -26.95 | Mean fitness (Test): -7.45
Generation 280 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.73 | Mean fitness (Train): -27.11 | Mean fitness (Test): -8.26
Generation 290 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -8.64 | Mean fitness (Train): -27.33 | Mean fitness (Test): -14.21
Generation 300 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -3.97 | Mean fitness (Train): -21.97 | Mean fitness (Test): -5.27
Generation 310 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -4.27 | Mean fitness (Train): -22.74 | Mean fitness (Test): -7.97
Generation 320 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -7.30 | Mean fitness (Train): -17.98 | Mean fitness (Test): -12.15
Generation 330 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -6.57 | Mean fitness (Train): -24.88 | Mean fitness (Test): -11.39
Generation 340 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -7.29 | Mean fitness (Train): -23.60 | Mean fitness (Test): -11.80
Generation 350 | Best fitness (Train): -0.82 | Best fitness in generation (Train): -5.23 | Mean fitness (Train): -17.61 | Mean fitness (Test): -11.91
