Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 530 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.03 | Mean fitness (Train): -50.55 | Mean fitness (Test): -6.60
Generation 540 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -10.46 | Mean fitness (Train): -51.89 | Mean fitness (Test): -10.47
Generation 550 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.53 | Mean fitness (Train): -54.66 | Mean fitness (Test): -68.79
Generation 560 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.59 | Mean fitness (Train): -49.12 | Mean fitness (Test): -22.54
Generation 570 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.93 | Mean fitness (Train): -48.11 | Mean fitness (Test): -61.58
Generation 580 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.98 | Mean fitness (Train): -44.97 | Mean fitness (Test): -9.45
Generation 590 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.60 | Mean fitness (Train): -45.72 | Mean fitness (Test): -4.38
Generation 600 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.85 | Mean fitness (Train): -46.24 | Mean fitness (Test): -8.61
Generation 610 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -9.42 | Mean fitness (Train): -45.27 | Mean fitness (Test): -10.13
Generation 620 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.19 | Mean fitness (Train): -42.90 | Mean fitness (Test): -6.72
Generation 630 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.36 | Mean fitness (Train): -49.58 | Mean fitness (Test): -9.08
