Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 1120 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.61 | Mean fitness (Test): 5.00
Generation 1130 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 0.00
Generation 1140 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 2.04 | Mean fitness (Test): 4.00
Generation 1150 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.06 | Mean fitness (Test): 3.00
Generation 1160 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.70 | Mean fitness (Test): 1.00
Generation 1170 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 0.71 | Mean fitness (Test): 1.00
Generation 1180 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.12 | Mean fitness (Test): 0.00
Generation 1190 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 0.59 | Mean fitness (Test): 4.00
Generation 1200 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 0.75 | Mean fitness (Test): 3.00
Generation 1210 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.19 | Mean fitness (Test): 2.00
Generation 1220 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.94 | Mean fitness (Test): 1.00
Generation 1230 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.06 | Mean fitness (Test): 0.00
Generation 1240 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.21 | Mean fitness (Test): 0.00
Generation 1250 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.88 | Mean fitness (Test): 0.00
Generation 1260 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.45 | Mean fitness (Test): 3.00
Generation 1270 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.17 | Mean fitness (Test): 0.00
Generation 1280 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.51 | Mean fitness (Test): 0.00
